,DBN,AY12-13,AY13-14,Economic Need Index,Percent Asian,Percent White,Percent Hispanic,Percent Black,Student Attendance Rate,Percent of Students Chronically Absent,Supportive Environment - Percent Positive,Percent English Language Learners,Percent Students with Disabilities,Latitude,Longitude,AvgOfNoCrim N,Total Grads,Dropout,Still Enrolled,Average Score (SAT Math),Average Score (SAT Reading),Average Score (SAT Writing),Percent Tested
0,M292,2357841,2276174,83.2%,13.2%,3.9%,56.6%,24.4%,76.6%,56.8%,77%,12.7%,29.8%,40.713684,-73.986336,0.0,28,1,0,410.0,406.0,381.0,59.7%
1,M448,2190592,1967439,81.2%,29.9%,3.3%,41.1%,25.0%,88.0%,34.7%,87%,19.4%,22.0%,40.712399,-73.98449699999998,1.09,82,3,3,437.0,355.0,352.0,69.9%
2,M450,3745068,3700670,61.0%,9.4%,8.3%,57.9%,22.1%,93.8%,16.5%,92%,1.8%,23.4%,40.729589,-73.982555,1.76,89,1,2,454.0,428.0,445.0,85.2%
3,M509,2198272,2302771,76.7%,5.8%,2.5%,51.2%,39.9%,76.8%,64.7%,81%,9.1%,28.4%,40.720581,-73.98564499999998,0.0,27,8,6,438.0,413.0,394.0,35.6%
4,M539,6808136,7034224,25.7%,38.5%,28.6%,18.0%,13.3%,95.2%,13.0%,85%,0.2%,4.3%,40.718895,-73.97930799999997,6.51,123,2,6,657.0,601.0,601.0,91.0%
5,M696,3155058,3247592,31.4%,17.1%,45.3%,18.7%,17.2%,95.8%,6.2%,91%,0.0%,1.1%,40.719029,-73.975891,1.76,133,0,2,634.0,641.0,639.0,70.8%
6,M135,0,911543,71.3%,5.7%,2.6%,62.2%,28.5%,88.3%,34.8%,88%,7.3%,19.7%,40.76337,-73.990593,0.0,57,7,10,,,,
7,M139,0,933883,71.4%,3.6%,8.8%,61.1%,24.9%,88.1%,40.3%,82%,7.8%,29.5%,40.711442,-74.000851,0.0,78,11,10,,,,
8,M288,2607632,2672246,68.7%,4.7%,3.0%,52.2%,39.6%,88.5%,40.5%,81%,3.0%,15.7%,40.76518400000001,-73.992953,0.0,71,3,8,428.0,435.0,421.0,52.0%
9,M294,1944793,2011826,63.3%,5.9%,11.7%,41.3%,38.5%,86.3%,31.8%,88%,4.2%,26.0%,40.71677800000001,-73.989337,0.0,75,4,5,395.0,411.0,387.0,78.9%
10,M296,2089291,2083836,75.1%,5.0%,1.7%,71.2%,21.0%,84.8%,42.8%,85%,7.8%,17.5%,40.76518400000001,-73.992953,0.0,66,5,10,451.0,433.0,424.0,56.2%
11,M298,2408796,2339017,66.5%,13.7%,1.9%,45.4%,28.1%,92.7%,20.3%,88%,1.2%,11.6%,40.71655300000001,-73.993092,0.0,98,5,6,430.0,435.0,427.0,87.8%
12,M300,2319977,2331649,72.6%,6.0%,3.4%,59.2%,29.5%,83.0%,50.2%,84%,6.3%,20.8%,40.76518400000001,-73.992953,0.0,62,10,12,445.0,417.0,403.0,60.6%
13,M303,2639760,2641980,81.1%,1.7%,2.2%,67.5%,27.3%,83.0%,49.2%,90%,19.5%,25.1%,40.76518400000001,-73.992953,0.0,77,16,11,366.0,356.0,371.0,57.3%
14,M305,1816849,1800851,74.9%,5.8%,2.7%,49.2%,41.9%,85.9%,44.8%,80%,3.3%,18.8%,40.71677800000001,-73.989337,0.0,48,7,3,389.0,395.0,381.0,80.8%
